Date,Active traders,Trades,Listed assets,Trustlines,Marketcap (USD),DEX vol. (USD),CEX vol. (USD),Total vol. (USD),,,
2024/2/10,2062,12902,3.55K,7.39M,$147.35M,$0.49M,$6.58M,$7.07M,,,
2024/2/11,1933,12798,3.55K,7.39M,$144.94M,$0.43M,$6.73M,$7.16M,,,
2024/2/12,1761,13095,3.55K,7.39M,$144.80M,$0.43M,$6.34M,$6.77M,,,
2024/2/13,1753,12670,3.55K,7.39M,$143.44M,$0.49M,$6.22M,$6.71M,,,
2024/2/14,2022,15025,3.56K,7.39M,$178.42M,$0.57M,$6.68M,$7.25M,,,
2024/2/15,2093,15056,3.56K,7.39M,$159.10M,$0.49M,$6.34M,$6.83M,,,
2024/2/16,2108,15830,3.56K,7.40M,$160.30M,$0.42M,$6.01M,$6.44M,,,
2024/2/17,3358,20704,3.56K,7.39M,$149.08M,$0.66M,$5.99M,$6.65M,,,
2024/2/18,8061,32257,3.56K,7.39M,$154.86M,$0.62M,$6.09M,$6.72M,,,
2024/2/19,2901,17478,3.56K,7.38M,$150.18M,$0.49M,$6.16M,$6.65M,,,
2024/2/20,2607,19361,3.56K,7.38M,$143.29M,$0.52M,$6.17M,$6.70M,,,
2024/2/21,2078,17538,3.56K,7.38M,$141.53M,$0.45M,$6.10M,$6.55M,,,
2024/2/22,2014,15902,3.56K,7.38M,$141.76M,$0.41M,$6.32M,$6.74M,,,
2024/2/23,2034,16426,3.56K,7.38M,$141.66M,$0.41M,$6.24M,$6.65M,,,
2024/2/24,2143,14610,3.56K,7.38M,$148.56M,$0.49M,$5.69M,$6.19M,,,
2024/2/25,1869,14815,3.56K,7.38M,$144.62M,$0.49M,$4.49M,$4.98M,,,
2024/2/26,1897,16805,3.56K,7.38M,$154.07M,$0.51M,$5.49M,$6.00M,,,
2024/2/27,2261,18295,3.56K,7.38M,$158.11M,$0.68M,$6.00M,$6.69M,,,
2024/2/28,2407,21031,3.57K,7.38M,$145.21M,$0.95M,$6.62M,$7.57M,,,
2024/2/29,2535,21979,3.57K,7.38M,$145.99M,$1.12M,$6.12M,$7.25M,,,
2024/3/1,2574,18967,3.57K,7.37M,$154.48M,$0.61M,$5.82M,$6.43M,,,
2024/3/2,2549,23129,3.57K,7.37M,$144.13M,$1.06M,$6.69M,$7.75M,,,
2024/3/3,2187,21548,3.58K,7.37M,$169.74M,$0.85M,$2.56M,$3.41M,,,
2024/3/4,2369,21764,3.58K,7.36M,$158.33M,$1.02M,$6.45M,$7.47M,,,
2024/3/5,2472,27193,3.58K,7.36M,$163.08M,$1.31M,$7.24M,$8.55M,,,
2024/3/6,2223,21841,3.59K,7.36M,$171.34M,$0.89M,$6.40M,$7.29M,,,
2024/3/7,3283,23064,3.59K,7.36M,$158.84M,$0.93M,$6.97M,$7.91M,,,
2024/3/8,2281,19363,3.59K,7.36M,$168.32M,$0.75M,$7.11M,$7.86M,,,
2024/3/9,2628,20524,3.59K,7.36M,$153.50M,$0.96M,$6.59M,$7.55M,,,
2024/3/10,2462,18452,3.59K,7.37M,$126.82M,$0.87M,$3.23M,$4.10M,,,
2024/3/11,3139,28846,3.59K,7.37M,$134.26M,$2.17M,$7.37M,$9.54M,,,
2024/3/12,3301,26407,3.59K,7.37M,$134.35M,$1.21M,$7.46M,$8.67M,,,
2024/3/13,4534,24695,3.59K,7.37M,$141.03M,$0.98M,$7.76M,$8.74M,,,
2024/3/14,2758,20058,3.59K,7.36M,$157.14M,$0.78M,$6.25M,$7.03M,,,
2024/3/15,4382,36180,3.59K,7.36M,$164.68M,$1.81M,$5.50M,$7.31M,,,
2024/3/16,6956,36945,3.59K,7.36M,$159.03M,$1.17M,$4.66M,$5.82M,,,
2024/3/17,5194,30279,3.60K,7.36M,$147.27M,$1.53M,$6.30M,$7.83M,,,
2024/3/18,3689,27151,3.60K,7.36M,$146.69M,$1.39M,$5.14M,$6.53M,,,
2024/3/19,3611,26009,3.60K,7.36M,$136.79M,$1.27M,$4.06M,$5.33M,,,
2024/3/20,3745,28812,3.61K,7.37M,$150.37M,$1.27M,$4.68M,$5.95M,,,
