v2_trading_fees,v2_trading_fees_cumulative,v2_trading_volume,v2_trading_volume_cumulative,v2_swaps_fees,v2_swaps_fees_cumulative,v2_swaps_volume,v2_swaps_volume_cumulative
116062.0287,35073892.57,155183893.7,41267923208,2368.049735,950.3964568,4923939.08,1758391518
62079.2006,34957830.55,66216124.9,41112739315,1707.739178,948.0284071,2963835.343,1753467579
95126.21652,34895751.35,115745895.7,41046523190,2393.483296,946.3206679,4093668.333,1750503744
163038.9237,34800625.13,179893443.6,40930777294,3073.545095,943.9271846,5424721.605,1746410076
237597.4126,34637586.2,186752730.9,40750883850,2168.317714,940.8536395,4052547.951,1740985354
143043.9476,34399988.79,161097042.1,40564131119,2647.423558,938.6853218,4764096.267,1736932806
229445.9789,34256944.84,209444392.7,40403034077,2514.502917,936.0378982,4790658.894,1732168710
108472.8515,34027498.87,85283052.22,40193589685,1499.027578,933.5233953,2854984.233,1727378051
53742.68159,33919026.01,39295926.25,40108306632,1273.985368,932.0243678,2445255.44,1724523067
145217.8541,33865283.33,76763436.93,40069010706,3265.785258,930.7503824,5619008.901,1722077811
183365.9346,33720065.48,199923209.7,39992247269,2807.689571,927.4845971,5043827.655,1716458802
115461.4253,33536699.54,129833968.5,39792324060,2192.98716,924.6769076,4048964.212,1711414975
169705.2967,33421238.12,135130771.4,39662490091,6498.371577,922.4839204,11043480.62,1707366011
175130.7749,33251532.82,146570024.1,39527359320,1649.165654,915.9855488,2832829.496,1696322530
185436.0726,33076402.05,208767482.4,39380789295,2562.803254,914.3363832,4605599.906,1693489700
67099.82165,32890965.97,44897180.7,39172021813,1520.843371,911.7735799,2809478.047,1688884100
44512.14446,32823866.15,45857177.37,39127124632,1680.819799,910.2527365,2811475.215,1686074622
131552.9808,32779354.01,135812047.8,39081267455,2941.948612,908.5719167,5176799.152,1683263147
186020.5141,32647801.03,239275772.5,38945455407,2214.463676,905.6299681,3993711.513,1678086348
123468.5225,32461780.51,132815590,38706179635,1305.457916,903.4155045,2696362.857,1674092637
366163.5053,32338311.99,262623193.8,38573364045,2938.518271,902.1100465,5542509.067,1671396274
154256.3283,31972148.49,120395034.3,38310740851,3804.007104,899.1715283,6730909.078,1665853765
80561.0337,31817892.16,86170956.84,38190345817,2712.369735,895.3675212,4608584.021,1659122856
33043.14442,31737331.12,36249609.16,38104174860,1038.782703,892.6551514,1834574.96,1654514272
77715.00467,31704287.98,85690823.52,38067925251,7411.31831,891.6163687,12725263.34,1652679697
194549.9541,31626572.97,241858195.2,37982234427,11015.8134,884.2050504,19337876.47,1639954433
108149.6046,31432023.02,169128524.4,37740376232,3668.744529,873.189237,6639892.365,1620616557
212829.1868,31323873.42,256634294.4,37571247708,11488.04458,869.5204925,19806641.08,1613976664
207127.2999,31111044.23,194410989.1,37314613413,17546.18668,858.0324479,30055868.09,1594170023
128362.3852,30903916.93,101361515.7,37120202424,1563.242393,840.4862612,3112541.086,1564114155
129447.0411,30775554.54,61177731.48,37018840908,2579.088132,838.9230188,4754279.882,1561001614
