pool,Fee Tier,Start Date,Expiry Date,Yield Source,Base Asset,Underlying Issuer,chain,AverageIY,Average Daily LP TVL,Total Swap Fee,Total Swap Fee (im+ex),Average Daily Swap Fee,Average Daily Swap Fee (im + ex),Average TV,EfficientRatio*,EfficientRatioB**
weETH 26DEC2024,0.001,30 Aug 2024,26 Dec 2024,2-Restaking,ETH,Ether.fi,42161,0.04790330796815732,15845186.187763043,4574.472180352465,5536.022292007736,39.435105003038494,47.724330103514966,367358.6987987904,0.0010993484255322704,0.023184246271747505
USD0++ 31OCT2024,0.001,6 Aug 2024,31 Oct 2024,7-RWA,Stable,Usual,1,0.18692216450262145,15449816.803372785,29574.570773174142,66907.49482485467,347.9361267432252,787.1469979394667,3956413.761299821,0.018596249904088445,0.256081597060498
Concrete LBTC Vault 10APR2025,0.003,14 Jan 2025,10 Apr 2025,1-Staking,BTC,Concrete,1,0.15075629665759108,14312903.26104481,22603.0931868731,25079.439228483097,982.7431820379608,1090.4104012383955,1630809.531873565,0.027807062563976366,0.11393981375617288
rswETH 27JUN2024,0.01,19 Feb 2024,27 Jun 2024,2-Restaking,ETH,Swell,1,0.3300369511023572,14022484.076450216,410903.76052667585,734650.2518566917,3210.185629114655,5739.455092630404,3280081.109350579,0.14939586291478396,0.23391583769806137
Ethena sUSDE 25JUL2024,0.01,23 Apr 2024,25 Jul 2024,6-Stablecoins,Stable,Ethena,1,0.3459693308058734,13719379.746442351,818411.7908807991,918306.2001415379,8800.126783664506,9874.260216575676,8331372.557439729,0.2627017434942511,0.6072703512416575
Karak WEETH 26SEP2024,0.003,28 May 2024,26 Sept 2024,2-Restaking,ETH,Ether.fi,1,0.11512668769424453,13372432.213354634,47220.23551602967,84944.82101314806,393.5019626335806,707.8735084429005,594041.844488552,0.019321378972751775,0.044422871995963516
Zircuit Staking rsETH 27JUN2024,0.003,26 Mar 2024,27 Jun 2024,2-Restaking,ETH,Kelp,1,0.36709360714173206,13006030.248471603,95885.80201203816,276507.59464776673,1053.6901320004192,3038.5449961293048,2356463.301443568,0.08527343873566087,0.18118236359787696
weETH 26SEP2024,0.003,14 May 2024,26 Sept 2024,2-Restaking,ETH,Ether.fi,42161,0.08258437159113421,12384427.952201558,54691.34412124108,66370.07612969619,408.1443591137394,495.29907559474765,792259.2797466519,0.014597699892948644,0.06397221436504165
Ethena USDe 25JUL2024,0.01,1 Apr 2024,25 Jul 2024,6-Stablecoins,Stable,Ethena,5000,0.39784148110573786,12080857.610980649,654359.4995517964,940366.7998925567,5739.995610103477,8248.831578004883,2245097.5051041697,0.24922266472499074,0.18583924895063197
Puffer ETH 26JUN2025,0.0005,13 Nov 2024,26 Jun 2025,2-Restaking,ETH,Puffer Finance,1,0.04609274485755485,12069925.93593182,4873.989745085806,8976.184830597711,78.61273782396462,144.77717468705984,344395.4984642721,0.004378127010992073,0.02853335640105435
Super Symbiotic LRT 26JUN2025,0.0015,18 Dec 2024,26 Jun 2025,2-Restaking,ETH,Ether.fi,1,0.05020168455970185,11842266.951404344,3034.7242609910318,5018.246761137124,68.97100593161436,114.05106275311645,148361.91839497755,0.0035152592046534532,0.01252816872004255
Renzo ezETH 27JUN2024,0.01,6 Mar 2024,27 Jun 2024,2-Restaking,ETH,Renzo,42161,0.3671737235934908,11043465.382157477,502520.0697281643,782965.2159948766,4447.0802630811,6928.8957167688195,8268966.53986724,0.22900845423998045,0.7487655598782522
Treehouse ETH 29MAY2025,0.0025,6 Feb 2025,29 May 2025,1-Staking,ETH,Treehouse,1,0.12064450297463515,10655546.090019882,4800.589001815827,5388.958059005557,2400.2945009079135,2694.4790295027783,3155505.5286695007,0.09229792987237495,0.2961373825434425
mPendle 26SEP2024,0.001,18 Sept 2023,26 Sept 2024,8-Other,Other,Penpie,42161,0.07759922950375125,9162600.315916242,13309.967259782878,28177.766735127272,37.92013464325606,80.2785377069153,62120.376155451224,0.003197964033433231,0.006779775829307175
USD0++ 24APR2025,0.005,10 Dec 2024,24 Apr 2025,7-RWA,Stable,Usual,1,0.22232151631179103,9144143.167061474,30508.880389695794,44942.379326648996,554.7069161762872,817.1341695754363,357167.90525264526,0.032616940313160044,0.03905974553627022
Super Symbiotic LRT 29AUG2024,0.003,19 Jun 2024,29 Aug 2024,2-Restaking,ETH,Ether.fi,1,0.14273235072247598,9062378.440894108,91355.49317705834,128615.18871565194,1305.0784739579763,1837.3598387950276,5359476.913646886,0.0740022440614408,0.5913984886640986
rswETH 26DEC2024,0.001,3 Sept 2024,26 Dec 2024,2-Restaking,ETH,Swell,1,0.04697588679441249,8962482.594813537,1658.7537091806003,2653.212623664169,16.926058256944902,27.073598200654786,212379.80983961228,0.0011025810358569052,0.023696538051020986
Kelp Gain 26JUN2025,0.001,13 Nov 2024,26 Jun 2025,2-Restaking,Stable,Kelp DAO,1,0.05723022275569515,8738329.035416601,5174.713801839479,8690.710476994795,77.23453435581312,129.7120966715641,164901.54404019887,0.00541807422142507,0.01887106143197973
rsETH 25APR2024,0.001,13 Feb 2024,25 Apr 2024,2-Restaking,ETH,Kelp,42161,0.40352168960312157,8716600.233084194,52254.018129988755,156147.89342516914,735.9720863378698,2199.2661045798473,7189923.393297528,0.09209234181978926,0.8248540946053594
Concrete USDe Vault 10APR2025,0.004999998,9 Jan 2025,10 Apr 2025,1-Staking,Stable,Ethena,1,0.25519790277226123,8561074.226187993,26897.029178678426,26924.078331399247,927.4837647820146,928.4164941861809,800265.3252886141,0.03958288544460458,0.0934772090680669
